smiles,BDE_pred,D_pred
O=[N+]([O-])c1c2[n-]o[n-]c-2c([N+](=O)[O-])[n+](=O)[n+]1=O,250,9431
O=[N+]([O-])c1nn([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],167,9418
O=[N+]([O-])c1nn([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c12,140,9408
O=[N+]([O-])Nc1c2[n-]o[n-]c-2c(N[N+](=O)[O-])[n+](=O)[n+]1=O,129,9359
O=[N+]([O-])c1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,206,9343
O=[N+]([O-])Nc1c2[n-]o[n-]c-2c([N+](=O)[O-])[n+](=O)[n+]1=O,139,9332
O=[N+]([O-])c1nc2n([N+](=O)[O-])nc([N+](=O)[O-])n2n1,212,9276
O=[N+]([O-])Nc1nn([N+](=O)[O-])c2nnc3n([N+](=O)[O-])nc([N+](=O)[O-])n1-n23,125,9276
O=[N+]([O-])c1nn2c([N+](=O)[O-])nn([N+](=O)[O-])c2c1[N+](=O)[O-],224,9238
O=[N+]([O-])NN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],129,9198
O=[N+]([O-])c1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c2n1,171,9154
O=[N+]([O-])c1nnnc2c1c([N+](=O)[O-])nn2[N+](=O)[O-],177,9137
O=c1c2c(c([N+](=O)[O-])nn1[N+](=O)[O-])c([N+](=O)[O-])nn2[N+](=O)[O-],154,9125
O=[N+]([O-])c1nc([N+](=O)[O-])c2c(n1)c([N+](=O)[O-])nn2[N+](=O)[O-],158,9119
O=[N+]([O-])c1nc([N+](=O)[O-])c2c([N+](=O)[O-])n([N+](=O)[O-])nc2n1,138,9093
O=c1c2nn([N+](=O)[O-])c([N+](=O)[O-])c2c([N+](=O)[O-])nn1[N+](=O)[O-],153,9088
O=[N+]([O-])c1nc2c([N+](=O)[O-])nnn2nc1[N+](=O)[O-],254,9077
Nn1nc([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],206,9076
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc([N+](=O)[O-])n1N[N+](=O)[O-],124,9069
Nc1nn([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c12,139,9054
O=c1c2c([N+](=O)[O-])nn([N+](=O)[O-])c2nc([N+](=O)[O-])n1[N+](=O)[O-],169,9052
O=[N+]([O-])NN=c1c2nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n1N[N+](=O)[O-],137,9051
O=c1nc([N+](=O)[O-])nc2n([N+](=O)[O-])c([N+](=O)[O-])nn12,208,9048
Nc1c([N+](=O)[O-])nn2c([N+](=O)[O-])nn([N+](=O)[O-])c12,234,9039
Nc1nn([N+](=O)[O-])c2c1c([N+](=O)[O-])nn2[N+](=O)[O-],158,9036
Nn1nc([N+](=O)[O-])c2c([N+](=O)[O-])nn([N+](=O)[O-])c21,199,9032
O=[N+]([O-])Nc1nc([N+](=O)[O-])c2nc([N+](=O)[O-])nc-2n1[N+](=O)[O-],127,9030
O=[N+]([O-])c1nc2onc([N+](=O)[O-])n2c1[N+](=O)[O-],225,9024
O=[N+]([O-])c1nc2c([N+](=O)[O-])nc([N+](=O)[O-])n([N+](=O)[O-])c-2n1,210,9017
O=c1nc([N+](=O)[O-])n([N+](=O)[O-])c2nc([N+](=O)[O-])n([N+](=O)[O-])c12,184,9017
Nn1nc([N+](=O)[O-])n2c([N+](=O)[O-])nn([N+](=O)[O-])c3nnc1n3-2,263,9016
