smiles,BDE,Density,DetoD,DetoP,DetoQ,DetoT,DetoV,HOF_S,Td
Nc1nnn(N)c1[N+](=O)[O-],351.786583,1.781098635,8012.607388,26.850544,4872.036067,3563.491059,768.9125098,251.4484477,205.2787367
Nc1n[n+](=O)[n-]c(N)c1[N+](=O)[O-],341.3233688,1.833648505,8245.442012,30.33119328,5163.740657,3740.082522,716.9070188,122.6013381,204.1710341
NN=c1n(N)c([N+](=O)[O-])c([N+](=O)[O-])n1N,336.4811532,1.826124079,8117.160828,30.76827067,5184.645235,3759.268057,735.6365049,189.8488378,234.4661076
Nc1n[nH]nc1[N+](=O)[O-],323.1254191,1.799992345,8103.535046,29.58404691,4554.044479,3390.560505,730.2836219,165.185103,198.1798072
Nc1c([N+](=O)[O-])c(N)c2nnnn2c1[N+](=O)[O-],322.5498215,1.890972291,8124.135422,29.16551943,5120.241748,3312.798812,654.6575258,293.6958984,287.8412046
Nc1nn2c([N+](=O)[O-])c(N)nnc2c1[N+](=O)[O-],322.423425,1.829908996,8043.877429,28.67762503,5013.925634,3214.39367,662.6216573,282.3378599,292.0768528
Nc1nn(N)nc1[N+](=O)[O-],320.2627164,1.766663243,8030.383797,28.31360476,4978.464667,3555.494153,777.1946243,234.7144811,205.9190531
Nc1[nH]nnc1[N+](=O)[O-],319.9208746,1.798257658,8004.624386,27.93188721,4789.731684,3501.360303,725.6060699,184.916523,196.3853821
NN=c1[nH]c([N+](=O)[O-])c([N+](=O)[O-])n1N,318.3142097,1.86718442,8209.50244,31.54288893,5033.151617,3559.661074,726.0990313,129.833392,235.9437659
Nc1c([N+](=O)[O-])c2nnn(N)nc-2c1[N+](=O)[O-],317.7073351,1.86219677,8054.545881,30.2926832,5561.671951,3444.950211,661.5222019,413.4944998,297.8177944
NN=c1onc([N+](=O)[O-])n1N,315.3067473,1.814513221,8223.975381,29.7244195,5332.457497,3851.840833,740.4730133,182.8147369,182.6090945
Nc1nnc2c(N)c([N+](=O)[O-])nn2c1[N+](=O)[O-],314.7576709,1.855479131,8140.65852,29.83613335,5008.912772,3280.412298,669.9903751,288.6981508,270.9986867
Nc1[n-][n+](=O)c(N)nc1[N+](=O)[O-],314.7483637,1.818249693,8258.010891,29.14565646,5070.324345,3525.291407,723.0355392,97.56544974,224.4031873
Nn1nc([N+](=O)[O-])n(N)c1=O,314.5036626,1.811541382,8076.704788,29.31945061,4458.145808,3368.950099,739.9630247,9.073116526,226.709739
