ID,Mass,Density,HOF_S(kJ/mol),D(m/s),P(GPa),BDE(kJ/mol)
RDX,222,1.806,79,8836,35.4,156
TNT,227,1.654,-86.7,6987,21,250.1
ske_55_1_19,243,1.937,306.3,8861,37.1,59.4
ske_55_1_35,288,1.994,456.2,9489,43.2,44.5
ske_55_10_14,168,1.754,277,7255,23.4,305.2
ske_55_10_20,243,1.918,391.5,8922,37.4,138.9
ske_55_10_22,213,1.813,363.9,8182,30.4,102
ske_55_10_24,213,1.868,367.8,8363,32.3,84.6
ske_55_10_35,288,1.97,511.8,9470,42.7,131.4
ske_55_10_36,258,1.91,457,8965,37.6,72.5
ske_55_10_37,258,1.904,493.7,8992,37.8,103.6
ske_55_10_40,228,1.838,448.7,8382,32.2,81.8
ske_55_10_8,198,1.84,275.4,8116,30.2,294.1
ske_55_11_34,243,1.919,352.2,8870,36.9,248.5
ske_55_11_38,213,1.859,280.8,8183,30.9,255.3
ske_55_11_41,213,1.884,333.7,8354,32.4,252.2
ske_55_11_45,213,1.838,285.2,8125,30.2,270.9
ske_55_11_65,288,1.986,471.8,9479,43,80.9
ske_55_11_66,258,1.918,389.3,8898,37.2,56
ske_55_11_67,258,1.889,458.6,8896,36.8,246.8
ske_55_11_68,258,1.927,424.9,8975,37.9,14.3
ske_55_11_69,258,1.906,412.3,8889,36.9,68.2
ske_55_12_34,243,1.931,325,8868,37,250.9
ske_55_12_38,213,1.885,269.3,8241,31.6,262.6
ske_55_12_41,213,1.874,307.4,8277,31.7,275.8
ske_55_12_65,288,1.984,478.3,9480,43,42.8
ske_55_12_66,258,1.967,376.3,9042,38.9,49.8
ske_55_12_67,258,1.906,455.6,8948,37.4,249.5
ske_55_12_68,258,1.922,435.1,8975,37.8,-38.8
ske_55_12_71,228,1.904,337.3,8406,33,14.8
ske_55_12_75,228,1.818,440.4,8303,31.4,-31.3
ske_55_13_33,243,1.95,364.7,8988,38.3,250.4
ske_55_13_65,288,1.968,512.8,9464,42.7,12.9
ske_55_13_66,258,1.936,470.1,9069,38.8,253.6
ske_55_13_67,258,1.959,392.2,9038,38.8,38.7
ske_55_13_68,258,1.904,451.8,8937,37.3,-49.7
ske_55_14_19,244,1.942,659.4,9546,43.1,27.2
ske_55_14_7,199,1.91,528.2,9005,38,251.8
ske_55_15_19,244,1.97,598.3,9562,43.6,78.4
